32:	31.321	40.719	8.485	39.013	37.59	25.179	47.508	38.328	41.183	27.659	
33:	32.28	41.629	7.81	39	37.59	25.318	48.374	38.328	42.059	27.659	
34:	18.111	13.601	33.302	28.792	8.544	31.257	11.402	19.313	9.22	21.213	
35:	13.601	21.26	15.297	19.235	20.809	7.071	30.48	17.464	25.495	8.062	
36:	33.242	38.079	7.071	39.013	36.235	25.179	47.508	36.878	41.593	27.659	
37:	1.414	7.616	28.16	10.296	9	13.601	18.788	3.162	12.083	6.083	
38:	0	7.211	26.476	12.083	7.28	15.652	18.358	4.123	11.662	6.708	
39:	0	7.211	26.683	12.53	8.246	16.553	18.358	4.472	11.662	7.616	
40:	0	8.944	26.683	12.53	8.246	16.553	20.125	4	11.662	8.246	
41:	0	8.062	25.71	13.416	7.28	16.553	19.235	4.123	12.53	8.544	
42:	0	8.944	26.683	12.53	6.325	15.652	18.788	4.123	12.53	8.246	
43:	0	10.296	25.71	13.601	7.211	15.652	20.125	5	13.038	7.616	
44:	0	10.817	26.683	12.806	6.708	15.232	19.698	5.099	13.038	8.544	
45:	0	9.849	27.893	12.806	6.083	15.232	18.385	4.472	12.53	8.544	
46:	0	8.944	27.893	14.213	4.123	15.232	16.553	5	11.662	9.849	
47:	0	10.296	28.636	12.728	5.385	13.416	18.385	4.472	12.53	8.544	
48:	0	10.817	27.659	12.728	4.472	13	17.464	5	12.53	7.616	
49:	0	12.53	27.659	11.402	5.831	11.705	17.464	4.472	13	7.071	
50:	0	13	28.443	11.402	7.616	11.705	18.028	4.123	13	7.071	
51:	0	14.318	28.443	10	9.487	11.18	19.925	4.123	14.318	8	
52:	0	15.264	27.659	11.662	8.944	10.44	21.19	5	13.892	7	
53:	0	14.318	28.636	11.402	7.616	11.705	19.925	3	13.892	8.062	
54:	0	13	29.614	10	7.071	12.083	18.682	2	12.53	9.22	
55:	0	13	28.443	11.402	7.616	11.402	19.925	3.162	12.53	8.544	
56:	0	12.53	28.443	11.314	7.616	12.369	18.974	4.472	10.817	9.849	
57:	0	12.083	29.428	10.63	8.544	11.402	18.028	3.606	10	10.77	
58:	0	12.083	30.265	10	7.28	12.649	18.682	2.236	10.296	10.77	
59:	0	10.77	30.265	10	6.083	13.928	18.682	2.236	10	10.77	
60:	1	11.18	31.257	7.81	7.071	13.892	19.416	1.414	10.296	12.369	
61:	0	12.166	30.265	7.81	7	13.416	18.439	2.236	9.849	12.166	
62:	0	13.342	30.265	6.403	8.062	12.083	19.647	2.236	11.18	12.166	
63:	1	13.153	29.275	5.657	8	12.083	19.416	3.162	10.77	13.153	
64:	1	14.318	28.443	6.403	8	11.402	19.925	4.472	10.296	12.042	
65:	0	15.297	26.306	5.831	9	10.05	20.881	3.606	12.53	11.045	
66:	0	16.125	28.284	4.472	9.055	10.198	20.616	2.236	12.53	12	
67:	0	15.297	27.295	6.325	8	11.045	19.925	3.606	13.892	11	
68:	0	16.279	26.173	6.083	9	10.198	20.616	3	13.892	11	
69:	0	17.117	26.173	5.385	9	9.487	19.416	2	13.416	12.042	
70:	0	16.031	28.16	5	9	10.77	19.416	1	13.928	13	
71:	0	17	27.074	4.472	11	10.77	20.396	2.236	14.56	12.042	
72:	0	17	28.018	4.123	12.042	9.849	20.396	4.123	16.492	11.18	
73:	0	17	29.069	3.606	12.042	10.296	20.1	4	17.263	12.042	
74:	0	17	28.071	4.123	13	9.487	20.396	4.123	18.439	10.05	
75:	0	18.028	29.069	3	12.042	8.944	20.396	3	18.111	12.042	
76:	0	17.117	30.067	3	12.042	10	21.213	3	18.028	13.153	
77:	0	17.029	30.15	3.162	12	10	20.224	3	18.028	14.142	
78:	0	17.029	30.15	4.472	11.045	9.434	20.616	3.162	19.105	14.142	
79:	0	17.029	29.275	4.472	10	10.296	19.416	2.828	17.117	14	
80:	0	18.111	30.414	3.162	10.198	10.817	18.248	2.236	17	15.033	
81:	0	19.105	31.257	3	11.045	10	19.235	3	18.028	14	
82:	0	18.111	30.414	2.236	10	10.296	19.235	2.236	16.031	15.033	
83:	0	18.111	30.414	2.828	10.05	11.18	19.105	2.828	16.125	15	
84:	0	18.248	30.414	2.828	10.198	12.53	19	3.162	15.297	17	
85:	0	19.105	30.15	2.236	11.045	11.18	21	4.243	16.125	16.031	
86:	0	20.224	30.15	2.236	11.045	10.817	21	4.243	16.125	16.279	
87:	0	19.416	31.257	1	11.045	10.817	22.023	4.243	16.125	17.464	
88:	0	19.416	32.388	0	11.402	11.402	23.087	5	16.492	18.248	
89:	0	18.248	31.575	2	11.402	12.207	23.087	5.385	15.297	18.028	
90:	0	19.416	32.388	3.162	12.083	12.806	24.187	6.083	15.297	20.025	
91:	0	19.235	32.249	2.236	12.083	12.207	24.187	6	15.297	20	
92:	0	20.224	31.257	2.236	12.53	12.806	24.083	5	15.297	21	
93:	0	20.396	32.249	2	12.083	13.601	25.08	6	15.524	21.024	
94:	0	19.235	32.249	2.236	10.77	12.207	25.02	5	14.318	20	
95:	0	19.105	31.257	2	10.44	12.806	24.021	5	15.297	19	
96:	0	19.105	30.414	3.162	11.18	13.038	25	4	15.033	17	
97:	0	19.235	31.575	3.162	11.402	12.806	25	4	16.125	18.028	
98:	0	20.224	31.401	3.606	12.369	12.806	25.02	4.123	17.117	18.028	
99:	0	20.616	32.558	3.606	13	13.454	25.179	6.083	16.279	19.105	
100:	1	21.84	34.525	4.472	13	13.454	25.179	7	17.464	19.105	
